,overall_ntrials,overall_ncorrect,overall_rt_mean,overall_rt_mean_outrmvd,overall_rt_outrmvd,overall_dprime,overall_criterion,overall_N,overall_S,overall_H,overall_F,incongruent_ntrials,incongruent_ncorrect,incongruent_rt_mean,incongruent_rt_mean_outrmvd,incongruent_rt_outrmvd,incongruent_dprime,incongruent_criterion,incongruent_N,incongruent_S,incongruent_H,incongruent_F,congruent_ntrials,congruent_ncorrect,congruent_rt_mean,congruent_rt_mean_outrmvd,congruent_rt_outrmvd,congruent_dprime,congruent_criterion,congruent_N,congruent_S,congruent_H,congruent_F,stroop_ncorrect,stroop_dprime,stroop_rt_mean_outrmvd,group
4388,112.0,111.0,1301.16216216,1167.8,1.0,4.47527257704,0.137470795675,56.0,56.0,55.0,0.0,56.0,56.0,1197.21428571,928.6,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,56.0,55.0,1407.0,1261.77358491,2.0,3.91712386227,0.155818840394,28.0,28.0,27.0,0.0,-1.0,-0.311637680788,333.173584906,0.0
4389,112.0,111.0,1184.66666667,1097.73831776,4.0,4.47527257704,-0.137470795675,56.0,56.0,56.0,1.0,56.0,56.0,1229.35714286,1145.25925926,2.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,56.0,55.0,1139.16363636,1049.32075472,2.0,3.91712386227,-0.155818840394,28.0,28.0,28.0,1.0,-1.0,-0.311637680788,-95.9385045423,0.0
4390,112.0,55.0,1354.8,1298.75925926,1.0,-0.0447761766955,0.0223880883478,56.0,56.0,27.0,28.0,56.0,0.0,,,0.0,,,28.0,28.0,0.0,28.0,56.0,55.0,1354.8,1298.75925926,1.0,3.91712386227,0.155818840394,28.0,28.0,27.0,0.0,55.0,,,0.0
4391,112.0,112.0,779.973214286,766.279279279,1.0,4.75021416839,8.881784197e-16,56.0,56.0,56.0,0.0,56.0,56.0,811.517857143,784.454545455,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,56.0,56.0,748.428571429,739.490909091,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,0.0,0.0,-44.9636363636,0.0
4392,112.0,112.0,1740.75,1647.93636364,2.0,4.75021416839,8.881784197e-16,56.0,56.0,56.0,0.0,56.0,56.0,1824.78571429,1708.09259259,2.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,56.0,56.0,1656.71428571,1464.53703704,2.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,0.0,0.0,-243.555555556,0.0
4393,112.0,111.0,880.675675676,837.018348624,2.0,4.47527257704,0.137470795675,56.0,56.0,55.0,0.0,56.0,55.0,941.109090909,886.12962963,1.0,3.91712386227,0.155818840394,28.0,28.0,27.0,0.0,56.0,56.0,821.321428571,768.777777778,2.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,1.0,0.311637680788,-117.351851852,0.0
4394,112.0,60.0,1049.95,1001.67241379,2.0,0.180012369793,-0.0900061848964,56.0,56.0,32.0,28.0,56.0,5.0,1796.0,1796.0,0.0,-2.87031361462,-0.367586283431,28.0,28.0,4.0,27.0,56.0,55.0,982.127272727,935.58490566,2.0,3.91712386227,-0.155818840394,28.0,28.0,28.0,1.0,50.0,6.78743747688,-860.41509434,0.0
4395,112.0,112.0,895.053571429,877.418181818,2.0,4.75021416839,8.881784197e-16,56.0,56.0,56.0,0.0,56.0,56.0,999.142857143,981.127272727,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,56.0,56.0,790.964285714,773.709090909,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,0.0,0.0,-207.418181818,0.0
4396,112.0,58.0,1676.63793103,1531.5,2.0,0.0899136173134,-0.0897329853522,56.0,56.0,31.0,29.0,56.0,4.0,1977.75,1977.75,0.0,-2.6959319306,-0.280395441419,28.0,28.0,4.0,28.0,56.0,54.0,1654.33333333,1497.17307692,2.0,3.60548618148,-2.22044604925e-16,28.0,28.0,27.0,1.0,50.0,6.30141811207,-480.576923077,0.0
4397,112.0,107.0,835.485981308,815.355769231,3.0,3.56539928553,-0.317465850079,56.0,56.0,55.0,4.0,56.0,51.0,831.803921569,818.84,1.0,2.87031361462,-0.367586283431,28.0,28.0,27.0,4.0,56.0,56.0,838.839285714,812.12962963,2.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,5.0,1.35844792844,-6.71037037037,0.0
