,proband_id,test_name,phase,trialn,sequence,rsp
45,4372,verbal_working_memory,digit letter,15,R3B4Z1C,False
46,4372,verbal_working_memory,digit letter,16,5T9J2X7,False
47,4372,verbal_working_memory,digit letter,17,E1H8R4D,False
0,4373,verbal_working_memory,forward,0,629,True
1,4373,verbal_working_memory,forward,1,375,True
2,4373,verbal_working_memory,forward,2,5417,True
3,4373,verbal_working_memory,forward,3,8396,True
4,4373,verbal_working_memory,forward,4,36925,True
5,4373,verbal_working_memory,forward,5,69471,True
6,4373,verbal_working_memory,forward,6,918427,False
7,4373,verbal_working_memory,forward,7,635482,True
8,4373,verbal_working_memory,forward,8,1285346,False
9,4373,verbal_working_memory,forward,9,2814975,True
10,4373,verbal_working_memory,forward,10,38295174,False
11,4373,verbal_working_memory,forward,11,59182647,False
12,4373,verbal_working_memory,backward,0,51,True
13,4373,verbal_working_memory,backward,1,38,True
14,4373,verbal_working_memory,backward,2,493,True
15,4373,verbal_working_memory,backward,3,526,True
16,4373,verbal_working_memory,backward,4,3814,True
17,4373,verbal_working_memory,backward,5,1795,True
18,4373,verbal_working_memory,backward,6,62972,False
19,4373,verbal_working_memory,backward,7,48527,False
20,4373,verbal_working_memory,practice,0,6F,True
21,4373,verbal_working_memory,practice,1,G4,True
22,4373,verbal_working_memory,practice,2,3W5,True
23,4373,verbal_working_memory,practice,3,T7L,True
24,4373,verbal_working_memory,practice,4,6GA2,True
25,4373,verbal_working_memory,practice,5,9PF4,True
26,4373,verbal_working_memory,digit letter,0,L2,True
27,4373,verbal_working_memory,digit letter,1,6P,True
28,4373,verbal_working_memory,digit letter,2,B5,True
29,4373,verbal_working_memory,digit letter,3,F7L,True
30,4373,verbal_working_memory,digit letter,4,R4D,True
31,4373,verbal_working_memory,digit letter,5,H18,True
32,4373,verbal_working_memory,digit letter,6,T9A3,True
33,4373,verbal_working_memory,digit letter,7,V1J5,True
34,4373,verbal_working_memory,digit letter,8,7N4L,True
35,4373,verbal_working_memory,digit letter,9,8D6G1,True
36,4373,verbal_working_memory,digit letter,10,K2C7S,True
37,4373,verbal_working_memory,digit letter,11,5P3Y9,True
38,4373,verbal_working_memory,digit letter,12,M4E7Q2,False
39,4373,verbal_working_memory,digit letter,13,W8H5F3,False
40,4373,verbal_working_memory,digit letter,14,6G9A2S,False
0,4374,verbal_working_memory,forward,0,629,True
1,4374,verbal_working_memory,forward,1,375,True
2,4374,verbal_working_memory,forward,2,5417,True
3,4374,verbal_working_memory,forward,3,8396,True
4,4374,verbal_working_memory,forward,4,36925,True
5,4374,verbal_working_memory,forward,5,69471,True
6,4374,verbal_working_memory,forward,6,918427,True
7,4374,verbal_working_memory,forward,7,635482,True
8,4374,verbal_working_memory,forward,8,1285346,False
9,4374,verbal_working_memory,forward,9,2814975,True
10,4374,verbal_working_memory,forward,10,38295174,False
11,4374,verbal_working_memory,forward,11,59182647,False
12,4374,verbal_working_memory,backward,0,51,True
13,4374,verbal_working_memory,backward,1,38,True
14,4374,verbal_working_memory,backward,2,493,False
15,4374,verbal_working_memory,backward,3,526,False
16,4374,verbal_working_memory,practice,0,6F,True
17,4374,verbal_working_memory,practice,1,G4,True
18,4374,verbal_working_memory,practice,2,3W5,True
19,4374,verbal_working_memory,practice,3,T7L,True
20,4374,verbal_working_memory,practice,4,6GA2,True
21,4374,verbal_working_memory,practice,5,9PF4,True
22,4374,verbal_working_memory,digit letter,0,L2,True
23,4374,verbal_working_memory,digit letter,1,6P,True
24,4374,verbal_working_memory,digit letter,2,B5,True
25,4374,verbal_working_memory,digit letter,3,F7L,True
26,4374,verbal_working_memory,digit letter,4,R4D,True
27,4374,verbal_working_memory,digit letter,5,H18,True
28,4374,verbal_working_memory,digit letter,6,T9A3,True
29,4374,verbal_working_memory,digit letter,7,V1J5,True
30,4374,verbal_working_memory,digit letter,8,7N4L,False
31,4374,verbal_working_memory,digit letter,9,8D6G1,False
32,4374,verbal_working_memory,digit letter,10,K2C7S,False
33,4374,verbal_working_memory,digit letter,11,5P3Y9,False
0,4375,verbal_working_memory,forward,0,629,True
1,4375,verbal_working_memory,forward,1,375,True
2,4375,verbal_working_memory,forward,2,5417,True
3,4375,verbal_working_memory,forward,3,8396,True
4,4375,verbal_working_memory,forward,4,36925,True
5,4375,verbal_working_memory,forward,5,69471,True
6,4375,verbal_working_memory,forward,6,918427,True
7,4375,verbal_working_memory,forward,7,635482,True
8,4375,verbal_working_memory,forward,8,1285346,True
9,4375,verbal_working_memory,forward,9,2814975,False
10,4375,verbal_working_memory,forward,10,38295174,False
11,4375,verbal_working_memory,forward,11,59182647,False
12,4375,verbal_working_memory,backward,0,51,True
13,4375,verbal_working_memory,backward,1,38,True
14,4375,verbal_working_memory,backward,2,493,True
15,4375,verbal_working_memory,backward,3,526,True
16,4375,verbal_working_memory,backward,4,3814,True
17,4375,verbal_working_memory,backward,5,1795,True
18,4375,verbal_working_memory,backward,6,62972,False
19,4375,verbal_working_memory,backward,7,48527,False
20,4375,verbal_working_memory,practice,0,6F,True
21,4375,verbal_working_memory,practice,1,G4,True
22,4375,verbal_working_memory,practice,2,3W5,True
23,4375,verbal_working_memory,practice,3,T7L,True
24,4375,verbal_working_memory,practice,4,6GA2,True
25,4375,verbal_working_memory,practice,5,9PF4,True
26,4375,verbal_working_memory,digit letter,0,L2,True
27,4375,verbal_working_memory,digit letter,1,6P,True
28,4375,verbal_working_memory,digit letter,2,B5,True
29,4375,verbal_working_memory,digit letter,3,F7L,True
30,4375,verbal_working_memory,digit letter,4,R4D,True
31,4375,verbal_working_memory,digit letter,5,H18,True
32,4375,verbal_working_memory,digit letter,6,T9A3,True
33,4375,verbal_working_memory,digit letter,7,V1J5,True
34,4375,verbal_working_memory,digit letter,8,7N4L,False
35,4375,verbal_working_memory,digit letter,9,8D6G1,False
36,4375,verbal_working_memory,digit letter,10,K2C7S,True
37,4375,verbal_working_memory,digit letter,11,5P3Y9,True
38,4375,verbal_working_memory,digit letter,12,M4E7Q2,False
39,4375,verbal_working_memory,digit letter,13,W8H5F3,False
40,4375,verbal_working_memory,digit letter,14,6G9A2S,False
0,4376,verbal_working_memory,forward,0,629,True
1,4376,verbal_working_memory,forward,1,375,True
2,4376,verbal_working_memory,forward,2,5417,True
3,4376,verbal_working_memory,forward,3,8396,True
4,4376,verbal_working_memory,forward,4,36925,True
5,4376,verbal_working_memory,forward,5,69471,True
6,4376,verbal_working_memory,forward,6,918427,False
7,4376,verbal_working_memory,forward,7,635482,True
8,4376,verbal_working_memory,forward,8,1285346,False
9,4376,verbal_working_memory,forward,9,2814975,True
10,4376,verbal_working_memory,forward,10,38295174,False
11,4376,verbal_working_memory,forward,11,59182647,False
12,4376,verbal_working_memory,backward,0,51,True
13,4376,verbal_working_memory,backward,1,38,True
14,4376,verbal_working_memory,backward,2,493,True
15,4376,verbal_working_memory,backward,3,526,True
16,4376,verbal_working_memory,backward,4,3814,False
17,4376,verbal_working_memory,backward,5,1795,True
18,4376,verbal_working_memory,backward,6,62972,False
19,4376,verbal_working_memory,backward,7,48527,False
20,4376,verbal_working_memory,practice,0,6F,True
21,4376,verbal_working_memory,practice,1,G4,True
22,4376,verbal_working_memory,practice,2,3W5,True
23,4376,verbal_working_memory,practice,3,T7L,True
24,4376,verbal_working_memory,practice,4,6GA2,True
25,4376,verbal_working_memory,practice,5,9PF4,True
26,4376,verbal_working_memory,digit letter,0,L2,True
27,4376,verbal_working_memory,digit letter,1,6P,True
28,4376,verbal_working_memory,digit letter,2,B5,True
29,4376,verbal_working_memory,digit letter,3,F7L,True
30,4376,verbal_working_memory,digit letter,4,R4D,True
