,proband_id,test_name,phase,trialn,f,ans,rsp,rt
2,4346,face_memory,learning,2,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar03.bmp,None,n/a,0
3,4346,face_memory,learning,3,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar04.bmp,None,n/a,0
4,4346,face_memory,learning,4,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar05.bmp,None,n/a,0
5,4346,face_memory,learning,5,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar06.bmp,None,n/a,0
6,4346,face_memory,learning,6,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar07.bmp,None,n/a,0
7,4346,face_memory,learning,7,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar08.bmp,None,n/a,0
8,4346,face_memory,learning,8,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar09.bmp,None,n/a,0
9,4346,face_memory,learning,9,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar10.bmp,None,n/a,0
10,4346,face_memory,learning,10,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar11.bmp,None,n/a,0
11,4346,face_memory,learning,11,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar12.bmp,None,n/a,0
12,4346,face_memory,learning,12,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar13.bmp,None,n/a,0
13,4346,face_memory,learning,13,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar14.bmp,None,n/a,0
14,4346,face_memory,learning,14,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar15.bmp,None,n/a,0
15,4346,face_memory,learning,15,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar16.bmp,None,n/a,0
16,4346,face_memory,learning,16,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar17.bmp,None,n/a,0
17,4346,face_memory,learning,17,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar18.bmp,None,n/a,0
18,4346,face_memory,learning,18,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar19.bmp,None,n/a,0
19,4346,face_memory,learning,19,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar20.bmp,None,n/a,0
20,4346,face_memory,test,0,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis04.bmp,No,No,5690
21,4346,face_memory,test,1,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar20.bmp,Yes,Yes,1160
22,4346,face_memory,test,2,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis01.bmp,No,No,1191
23,4346,face_memory,test,3,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis05.bmp,No,Yes,1930
24,4346,face_memory,test,4,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis16.bmp,No,No,1610
25,4346,face_memory,test,5,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar17.bmp,Yes,Yes,1060
26,4346,face_memory,test,6,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar09.bmp,Yes,No,1930
27,4346,face_memory,test,7,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis11.bmp,No,Yes,1640
28,4346,face_memory,test,8,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis06.bmp,No,Yes,1160
29,4346,face_memory,test,9,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis15.bmp,No,Yes,870
30,4346,face_memory,test,10,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis14.bmp,No,No,800
31,4346,face_memory,test,11,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar06.bmp,Yes,Yes,940
32,4346,face_memory,test,12,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis02.bmp,No,No,1080
33,4346,face_memory,test,13,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis13.bmp,No,Yes,940
34,4346,face_memory,test,14,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis18.bmp,No,No,1421
35,4346,face_memory,test,15,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar01.bmp,Yes,Yes,930
36,4346,face_memory,test,16,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar08.bmp,Yes,Yes,800
