,proband_id,test_name,trialn,rsp
5,4396,cvlt2_recall,0,cow
6,4396,cvlt2_recall,0,bookcase
7,4396,cvlt2_recall,0,cabinet
8,4396,cvlt2_recall,0,motorcycle
9,4396,cvlt2_recall,0,subway
10,4396,cvlt2_recall,0,celery
11,4396,cvlt2_recall,0,cabbage
0,4397,cvlt2_recall,0,spinach
1,4397,cvlt2_recall,0,cabinet
2,4397,cvlt2_recall,0,lamp
3,4397,cvlt2_recall,0,motorcycle
4,4397,cvlt2_recall,0,celery
5,4397,cvlt2_recall,0,giraffe
6,4397,cvlt2_recall,0,zebra
7,4397,cvlt2_recall,0,squirrel
8,4397,cvlt2_recall,0,bookcase
9,4397,cvlt2_recall,0,desk
10,4397,cvlt2_recall,0,subway
11,4397,cvlt2_recall,0,truck
12,4397,cvlt2_recall,0,onion
0,4398,cvlt2_recall,0,cow
1,4398,cvlt2_recall,0,cabbage
2,4398,cvlt2_recall,0,celery
3,4398,cvlt2_recall,0,onion
4,4398,cvlt2_recall,0,squirrel
5,4398,cvlt2_recall,0,giraffe
6,4398,cvlt2_recall,0,zebra
7,4398,cvlt2_recall,0,desk
8,4398,cvlt2_recall,0,lamp
9,4398,cvlt2_recall,0,truck
10,4398,cvlt2_recall,0,boat
11,4398,cvlt2_recall,0,subway
12,4398,cvlt2_recall,0,truck
13,4398,cvlt2_recall,0,motorcycle
0,4401,cvlt2_recall,0,truck
1,4401,cvlt2_recall,0,giraffe
2,4401,cvlt2_recall,0,zebra
3,4401,cvlt2_recall,0,lamp
4,4401,cvlt2_recall,0,desk
5,4401,cvlt2_recall,0,celery
6,4401,cvlt2_recall,0,cabbage
7,4401,cvlt2_recall,0,lamp
8,4401,cvlt2_recall,0,bookcase
9,4401,cvlt2_recall,0,cabinet
10,4401,cvlt2_recall,0,boat
11,4401,cvlt2_recall,0,spinach
12,4401,cvlt2_recall,0,zebra
13,4401,cvlt2_recall,0,cow
14,4401,cvlt2_recall,0,subway
15,4401,cvlt2_recall,0,motorcycle
0,4402,cvlt2_recall,0,cabbage
1,4402,cvlt2_recall,0,truck
2,4402,cvlt2_recall,0,zebra
3,4402,cvlt2_recall,0,celery
4,4402,cvlt2_recall,0,cow
5,4402,cvlt2_recall,0,cabbage
6,4402,cvlt2_recall,0,zebra
0,4403,cvlt2_recall,0,subway
1,4403,cvlt2_recall,0,onion
2,4403,cvlt2_recall,0,spinach
3,4403,cvlt2_recall,0,giraffe
4,4403,cvlt2_recall,0,cow
5,4403,cvlt2_recall,0,bookcase
6,4403,cvlt2_recall,0,desk
7,4403,cvlt2_recall,0,motorcycle
8,4403,cvlt2_recall,0,intrusion
9,4403,cvlt2_recall,0,intrusion
10,4403,cvlt2_recall,0,squirrel
0,4404,cvlt2_recall,0,truck
1,4404,cvlt2_recall,0,giraffe
2,4404,cvlt2_recall,0,zebra
3,4404,cvlt2_recall,0,cow
4,4404,cvlt2_recall,0,squirrel
5,4404,cvlt2_recall,0,bookcase
6,4404,cvlt2_recall,0,desk
7,4404,cvlt2_recall,0,onion
8,4404,cvlt2_recall,0,celery
9,4404,cvlt2_recall,0,spinach
10,4404,cvlt2_recall,0,motorcycle
11,4404,cvlt2_recall,0,lamp
12,4404,cvlt2_recall,0,celery
13,4404,cvlt2_recall,0,spinach
14,4404,cvlt2_recall,0,bookcase
15,4404,cvlt2_recall,0,cabinet
0,4409,cvlt2_recall,0,truck
1,4409,cvlt2_recall,0,motorcycle
2,4409,cvlt2_recall,0,cabbage
3,4409,cvlt2_recall,0,squirrel
4,4409,cvlt2_recall,0,zebra
5,4409,cvlt2_recall,0,giraffe
6,4409,cvlt2_recall,0,boat
7,4409,cvlt2_recall,0,bookcase
8,4409,cvlt2_recall,0,cabinet
9,4409,cvlt2_recall,0,onion
10,4409,cvlt2_recall,0,spinach
11,4409,cvlt2_recall,0,celery
12,4409,cvlt2_recall,0,motorcycle
0,4411,cvlt2_recall,0,subway
1,4411,cvlt2_recall,0,desk
2,4411,cvlt2_recall,0,celery
3,4411,cvlt2_recall,0,onion
4,4411,cvlt2_recall,0,motorcycle
5,4411,cvlt2_recall,0,lamp
0,4412,cvlt2_recall,0,intrusion
1,4412,cvlt2_recall,0,cow
2,4412,cvlt2_recall,0,motorcycle
3,4412,cvlt2_recall,0,truck
4,4412,cvlt2_recall,0,celery
5,4412,cvlt2_recall,0,squirrel
6,4412,cvlt2_recall,0,cow
7,4412,cvlt2_recall,0,spinach
0,4413,cvlt2_recall,0,spinach
1,4413,cvlt2_recall,0,cabbage
2,4413,cvlt2_recall,0,onion
3,4413,cvlt2_recall,0,celery
4,4413,cvlt2_recall,0,boat
5,4413,cvlt2_recall,0,truck
6,4413,cvlt2_recall,0,motorcycle
7,4413,cvlt2_recall,0,desk
8,4413,cvlt2_recall,0,cabinet
9,4413,cvlt2_recall,0,lamp
10,4413,cvlt2_recall,0,zebra
11,4413,cvlt2_recall,0,squirrel
12,4413,cvlt2_recall,0,cow
13,4413,cvlt2_recall,0,subway
0,A109,cvlt2_recall,0,truck
1,A109,cvlt2_recall,0,spinach
2,A109,cvlt2_recall,0,giraffe
3,A109,cvlt2_recall,0,onion
4,A109,cvlt2_recall,0,cabbage
5,A109,cvlt2_recall,0,boat
6,A109,cvlt2_recall,0,motorcycle
