proband_id,test_name,phase,trial_type,rt,nerrors
4411,trails,number,test,65460,0
4411,trails,letter,practice,11790,0
4411,trails,letter,test,39880,0
4411,trails,number-letter,practice,11120,0
4411,trails,number-letter,test,100240,0
4412,trails,number,practice,5300,0
4412,trails,number,test,26110,0
4412,trails,letter,practice,11570,1
4412,trails,letter,test,33520,1
4412,trails,number-letter,practice,12960,1
4412,trails,number-letter,test,64900,1
4413,trails,number,practice,8990,0
4413,trails,number,test,65460,0
4413,trails,letter,practice,9560,0
4413,trails,letter,test,80370,0
4413,trails,number-letter,practice,10580,0
4413,trails,number-letter,test,109310,0
4414,trails,number,practice,5730,0
4414,trails,number,test,33130,0
4414,trails,letter,practice,4620,0
4414,trails,letter,test,23470,0
4414,trails,number-letter,practice,9760,0
4414,trails,number-letter,test,101130,1
4415,trails,number,practice,7150,0
4415,trails,number,test,17950,0
4415,trails,letter,practice,10230,0
4415,trails,letter,test,39850,1
4415,trails,number-letter,practice,5030,0
4415,trails,number-letter,test,43910,0
4416,trails,number,practice,6380,0
4416,trails,number,test,29080,1
4416,trails,letter,practice,6030,0
4416,trails,letter,test,25460,0
4416,trails,number-letter,practice,5550,0
4416,trails,number-letter,test,52170,0
4417,trails,number,practice,14990,0
4417,trails,number,test,46070,0
4417,trails,letter,practice,7870,0
4417,trails,letter,test,49670,0
4417,trails,number-letter,practice,9910,0
4417,trails,number-letter,test,123480,1
4420,trails,number,practice,8510,0
4420,trails,number,test,36080,0
4420,trails,letter,practice,5350,0
4420,trails,letter,test,20000,0
4420,trails,number-letter,practice,6080,0
4420,trails,number-letter,test,52670,0
4421,trails,number,practice,5920,0
4421,trails,number,test,29370,0
4421,trails,letter,practice,6150,0
4421,trails,letter,test,22730,0
4421,trails,number-letter,practice,5220,0
4421,trails,number-letter,test,66410,0
4422,trails,number,practice,3260,0
4422,trails,number,test,19390,0
4422,trails,letter,practice,3150,0
4422,trails,letter,test,20310,0
4422,trails,number-letter,practice,4380,0
4422,trails,number-letter,test,58040,1
4423,trails,number,practice,7010,0
4423,trails,number,test,26380,1
4423,trails,letter,practice,3830,0
4423,trails,letter,test,29740,0
4423,trails,number-letter,practice,9470,1
4423,trails,number-letter,test,67650,0
4424,trails,number,practice,4390,0
4424,trails,number,test,24630,0
4424,trails,letter,practice,3110,0
4424,trails,letter,test,23030,0
4424,trails,number-letter,practice,7560,2
4424,trails,number-letter,test,66370,1
4425,trails,number,practice,9930,0
4425,trails,number,test,43910,0
4425,trails,letter,practice,5990,0
4425,trails,letter,test,38680,0
4425,trails,number-letter,practice,9150,0
4425,trails,number-letter,test,135160,2
4426,trails,number,practice,8060,0
4426,trails,number,test,36270,0
4426,trails,letter,practice,8120,0
4426,trails,letter,test,28020,0
4426,trails,number-letter,practice,23400,2
4426,trails,number-letter,test,57700,0
4427,trails,number,practice,8830,0
4427,trails,number,test,64010,1
4427,trails,letter,practice,9070,0
4427,trails,letter,test,53930,0
4427,trails,number-letter,practice,14250,1
4427,trails,number-letter,test,76840,0
4428,trails,number,practice,23470,0
4428,trails,number,test,70420,0
4428,trails,letter,practice,6370,0
4428,trails,letter,test,162350,4
4428,trails,number-letter,practice,24430,2
4428,trails,number-letter,test,303090,4
4429,trails,number,practice,5600,0
4429,trails,number,test,36950,0
4429,trails,letter,practice,4470,0
4429,trails,letter,test,26020,0
4429,trails,number-letter,practice,12310,2
4429,trails,number-letter,test,54620,0
4430,trails,number,practice,4820,0
4430,trails,number,test,32270,0
4430,trails,letter,practice,4380,0
4430,trails,letter,test,22490,0
4430,trails,number-letter,practice,4360,0
4430,trails,number-letter,test,67070,1
4432,trails,number,practice,4910,0
4432,trails,number,test,26870,0
4432,trails,letter,practice,6260,0
4432,trails,letter,test,39290,0
4432,trails,number-letter,practice,16400,1
4432,trails,number-letter,test,80980,0
4433,trails,number,practice,6480,0
4433,trails,number,test,39640,0
4433,trails,letter,practice,4810,0
4433,trails,letter,test,48950,0
4433,trails,number-letter,practice,6930,0
4433,trails,number-letter,test,74220,0
4434,trails,number,practice,5830,0
4434,trails,number,test,23720,0
4434,trails,letter,practice,4400,0
4434,trails,letter,test,16970,0
4434,trails,number-letter,practice,5530,0
4434,trails,number-letter,test,53560,1
4435,trails,number,practice,5840,0
4435,trails,number,test,40410,0
4435,trails,letter,practice,5670,0
4435,trails,letter,test,35290,0
4435,trails,number-letter,practice,6710,0
4435,trails,number-letter,test,80330,0
4436,trails,number,practice,6820,0
4436,trails,number,test,42490,0
4436,trails,letter,practice,6150,0
4436,trails,letter,test,54950,1
4436,trails,number-letter,practice,10060,0
4436,trails,number-letter,test,119520,1
4439,trails,number,practice,6190,0
4439,trails,number,test,22110,0
4439,trails,letter,practice,4190,0
4439,trails,letter,test,28550,0
4439,trails,number-letter,practice,3020,0
4439,trails,number-letter,test,100990,1
4440,trails,number,practice,5710,0
4440,trails,number,test,35510,0
4440,trails,letter,practice,6330,0
4440,trails,letter,test,48360,1
4440,trails,number-letter,practice,6310,0
4440,trails,number-letter,test,63070,0
4441,trails,number,practice,6360,0
4441,trails,number,test,38210,0
4441,trails,letter,practice,3080,0
4441,trails,letter,test,28790,1
4441,trails,number-letter,practice,5860,0
4441,trails,number-letter,test,57590,0
4443,trails,number,practice,5830,0
4443,trails,number,test,36280,1
4443,trails,letter,practice,4110,0
4443,trails,letter,test,33690,1
4443,trails,number-letter,practice,4650,0
4443,trails,number-letter,test,97230,2
4444,trails,number,practice,10500,0
4444,trails,number,test,26750,0
4444,trails,letter,practice,7890,0
4444,trails,letter,test,21650,0
4444,trails,number-letter,practice,5150,0
4444,trails,number-letter,test,52790,1
4445,trails,number,practice,7710,0
4445,trails,number,test,42930,0
4445,trails,letter,practice,9070,0
4445,trails,letter,test,39380,1
4445,trails,number-letter,practice,8410,0
4445,trails,number-letter,test,53330,0
4447,trails,number,practice,8100,0
4447,trails,number,test,64720,0
4447,trails,letter,practice,4800,0
4447,trails,letter,test,96980,1
4447,trails,number-letter,practice,18930,0
4447,trails,number-letter,test,160170,6
4449,trails,number,practice,5350,0
4449,trails,number,test,20480,0
4449,trails,letter,practice,4750,0
4449,trails,letter,test,24050,0
4449,trails,number-letter,practice,6250,0
4449,trails,number-letter,test,47090,0
4451,trails,number,practice,3350,0
4451,trails,number,test,29440,0
4451,trails,letter,practice,4320,0
4451,trails,letter,test,22100,1
4451,trails,number-letter,practice,5530,0
4451,trails,number-letter,test,67870,0
4453,trails,number,practice,4850,0
4453,trails,number,test,33620,0
4453,trails,letter,practice,4480,0
4453,trails,letter,test,27800,0
4453,trails,number-letter,practice,4070,0
4453,trails,number-letter,test,68110,0
4456,trails,number,practice,8480,0
4456,trails,number,test,41230,0
4456,trails,letter,practice,7230,0
4456,trails,letter,test,32170,0
4456,trails,number-letter,practice,9550,0
4456,trails,number-letter,test,60280,0
4460,trails,number,practice,6980,0
4460,trails,number,test,27190,0
4460,trails,letter,practice,5520,0
4460,trails,letter,test,21860,0
4460,trails,number-letter,practice,6880,0
4460,trails,number-letter,test,87470,1
4461,trails,number,practice,10360,0
4461,trails,number,test,30020,0
4461,trails,letter,practice,9860,0
4461,trails,letter,test,36330,0
4461,trails,number-letter,practice,8130,0
4461,trails,number-letter,test,102090,1
4465,trails,number,practice,10560,0
4465,trails,number,test,49830,0
4465,trails,letter,practice,7150,0
4465,trails,letter,test,37910,0
4465,trails,number-letter,practice,19170,1
4465,trails,number-letter,test,102450,2
4467,trails,number,practice,6220,0
4467,trails,number,test,32580,0
4467,trails,letter,practice,4390,0
4467,trails,letter,test,51110,0
4467,trails,number-letter,practice,17540,1
4467,trails,number-letter,test,128820,0
