proband_id,test_name,phase,trialn,posx,posy,dposx,dposy,rsp,rt,total_time
4379,orientation,last,5,-95,-43,-346,-300,0,680,4397
4379,orientation,last,6,287,199,174,-307,0,800,5205
4379,orientation,last,7,124,321,209,-166,0,831,6044
4379,orientation,last,8,-123,133,-282,128,0,390,7762
4379,orientation,last,9,138,284,124,-343,0,320,8860
4380,orientation,first,0,44,-336,233,131,0,1970,1978
4380,orientation,first,1,291,-190,310,-249,0,1400,3384
4380,orientation,first,2,174,158,-198,-147,0,1260,4650
4380,orientation,first,3,249,-155,-163,283,0,1290,5946
4380,orientation,first,4,144,171,260,315,0,1490,7441
4380,orientation,first,5,292,-24,-346,-300,0,1310,8757
4380,orientation,first,6,-136,-184,174,-307,0,1490,10253
4380,orientation,first,7,-314,-191,209,-166,0,1730,11989
4380,orientation,first,8,76,54,-282,128,0,1930,13925
4380,orientation,first,9,-192,168,124,-343,0,1330,15260
4380,orientation,last,0,-31,-224,233,131,0,1611,1620
4380,orientation,last,1,-273,-68,310,-249,0,1180,2807
4380,orientation,last,2,178,207,-198,-147,0,1590,4404
4380,orientation,last,3,40,-55,-163,283,0,1370,5781
4380,orientation,last,4,-241,-116,260,315,0,1690,7478
4380,orientation,last,5,-95,-43,-346,-300,0,1150,8635
4380,orientation,last,6,287,199,174,-307,0,1290,9932
4380,orientation,last,7,124,321,209,-166,0,1131,11070
4380,orientation,last,8,-123,133,-282,128,0,1420,12497
4380,orientation,last,9,138,284,124,-343,0,1630,14135
4381,orientation,first,0,44,-336,233,131,0,990,998
4381,orientation,first,1,291,-190,310,-249,0,620,1625
4381,orientation,first,2,174,158,-198,-147,0,630,3011
4381,orientation,first,3,249,-155,-163,283,0,670,3685
4381,orientation,first,4,144,171,260,315,0,711,4400
4381,orientation,first,5,292,-24,-346,-300,0,670,5076
4381,orientation,first,6,-136,-184,174,-307,0,900,5982
4381,orientation,first,7,-314,-191,209,-166,0,810,6798
4381,orientation,first,8,76,54,-282,128,0,730,7534
4381,orientation,first,9,-192,168,124,-343,0,770,8307
4381,orientation,last,0,-31,-224,233,131,0,620,627
4381,orientation,last,1,-273,-68,310,-249,0,640,1275
4381,orientation,last,2,178,207,-198,-147,0,680,1963
4381,orientation,last,3,40,-55,-163,283,0,620,2590
4381,orientation,last,4,-241,-116,260,315,0,580,3177
4381,orientation,last,5,-95,-43,-346,-300,0,410,4114
4381,orientation,last,6,287,199,174,-307,0,890,5012
4381,orientation,last,7,124,321,209,-166,0,750,5770
4381,orientation,last,8,-123,133,-282,128,0,720,6498
4381,orientation,last,9,138,284,124,-343,0,740,7246
4382,orientation,first,0,44,-336,233,131,0,2160,2168
4382,orientation,first,1,291,-190,310,-249,0,1110,3284
