proband_id,test_name,phase,trialn,rule,ans,pers,other,lapse,f1,f2,f3,f4,rsp,rt
4429,pcet,test,48,shape,3,2,1,0,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\110.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,1,680
4429,pcet,test,49,shape,1,0,3,2,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\011.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,3,1440
4429,pcet,test,50,shape,2,0,3,1,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\011.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,0,400
4429,pcet,test,51,shape,1,3,0,2,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\110.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,1,3630
4429,pcet,test,52,shape,1,3,2,0,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\110.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,1,1510
4429,pcet,test,53,shape,1,2,0,3,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,1,1821
4429,pcet,test,54,shape,3,0,1,2,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\110.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,3,1130
4429,pcet,test,55,shape,3,0,2,1,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,3,820
4429,pcet,test,56,shape,2,1,3,0,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\011.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,2,1680
4429,pcet,test,57,shape,0,2,1,3,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\110.png,0,610
4429,pcet,test,58,shape,2,3,1,0,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\011.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,2,1530
4429,pcet,test,59,shape,0,1,2,3,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,0,1260
4429,pcet,test,60,size,0,2,1,3,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\110.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,2,1250
4429,pcet,test,61,size,2,3,0,1,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,1,880
4429,pcet,test,62,size,2,0,1,3,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,1,1770
4429,pcet,test,63,size,1,0,3,2,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,3,560
4429,pcet,test,64,size,0,2,3,1,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\110.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\011.png,2,1080
4429,pcet,test,65,size,3,1,0,2,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,1,1270
4429,pcet,test,66,size,3,1,2,0,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\011.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,3,2010
4429,pcet,test,67,size,1,2,3,0,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\011.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,1,1290
4429,pcet,test,68,size,0,2,3,1,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,0,1670
4429,pcet,test,69,size,0,1,2,3,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,0,2760
4429,pcet,test,70,size,1,0,3,2,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\111.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\100.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\101.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\001.png,1,590
4429,pcet,test,71,size,1,2,3,0,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\010.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\011.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\000.png,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\pcet\110.png,0,1940
4430,pcet,practice,0,,2,2,2,2,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\000.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\000.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\111.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\000.png,2,2450
4430,pcet,test,0,thickness,3,,,1,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\010.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\000.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\001.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\100.png,0,6721
4430,pcet,test,1,thickness,2,,,0,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\110.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\111.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\010.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\100.png,2,3310
4430,pcet,test,2,thickness,0,,,3,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\010.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\111.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\100.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\110.png,0,1270
4430,pcet,test,3,thickness,3,,,1,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\000.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\010.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\011.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\110.png,3,1140
4430,pcet,test,4,thickness,0,,,3,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\011.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\110.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\101.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\111.png,0,1090
4430,pcet,test,5,thickness,3,,,1,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\100.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\101.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\111.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\001.png,3,890
4430,pcet,test,6,thickness,1,,,3,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\010.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\100.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\001.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\000.png,1,2020
4430,pcet,test,7,thickness,0,,,1,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\101.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\001.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\000.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\011.png,0,1320
4430,pcet,test,8,thickness,0,,,1,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\010.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\110.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\111.png,C:\Users\oleach\Charlie-master\Charlie-master\charlie\stimuli\visual\pcet\100.png,0,1980
