proband_id,test_name,phase,load,trialn,ans,array_f,probe_f,rsp,rt
4417,scap,test,4,9,Yes,c:\Charlie\charlie\stimuli\visual\scap\load4-19.BMP,c:\Charlie\charlie\stimuli\visual\scap\load4-20.BMP,Yes,1300
4417,scap,test,4,10,Yes,c:\Charlie\charlie\stimuli\visual\scap\load4-21.BMP,c:\Charlie\charlie\stimuli\visual\scap\load4-22.BMP,Yes,1570
4417,scap,test,4,11,No,c:\Charlie\charlie\stimuli\visual\scap\load4-23.BMP,c:\Charlie\charlie\stimuli\visual\scap\load4-24.BMP,Yes,1820
4417,scap,test,4,12,Yes,c:\Charlie\charlie\stimuli\visual\scap\load4-25.BMP,c:\Charlie\charlie\stimuli\visual\scap\load4-26.BMP,Yes,1570
4417,scap,test,4,13,No,c:\Charlie\charlie\stimuli\visual\scap\load4-27.BMP,c:\Charlie\charlie\stimuli\visual\scap\load4-28.BMP,Yes,1080
4417,scap,test,5,0,Yes,c:\Charlie\charlie\stimuli\visual\scap\load5-1.BMP,c:\Charlie\charlie\stimuli\visual\scap\load5-2.BMP,Yes,1360
4417,scap,test,5,1,Yes,c:\Charlie\charlie\stimuli\visual\scap\load5-3.BMP,c:\Charlie\charlie\stimuli\visual\scap\load5-4.BMP,Yes,1801
4417,scap,test,5,2,Yes,c:\Charlie\charlie\stimuli\visual\scap\load5-5.BMP,c:\Charlie\charlie\stimuli\visual\scap\load5-6.BMP,Yes,1390
4417,scap,test,5,3,Yes,c:\Charlie\charlie\stimuli\visual\scap\load5-7.BMP,c:\Charlie\charlie\stimuli\visual\scap\load5-8.BMP,Yes,960
4417,scap,test,5,4,Yes,c:\Charlie\charlie\stimuli\visual\scap\load5-9.BMP,c:\Charlie\charlie\stimuli\visual\scap\load5-10.BMP,Yes,1440
4417,scap,test,5,5,Yes,c:\Charlie\charlie\stimuli\visual\scap\load5-11.BMP,c:\Charlie\charlie\stimuli\visual\scap\load5-12.BMP,Yes,3300
4417,scap,test,5,6,No,c:\Charlie\charlie\stimuli\visual\scap\load5-13.BMP,c:\Charlie\charlie\stimuli\visual\scap\load5-14.BMP,No,1180
4417,scap,test,5,7,No,c:\Charlie\charlie\stimuli\visual\scap\load5-15.BMP,c:\Charlie\charlie\stimuli\visual\scap\load5-16.BMP,No,1270
4417,scap,test,5,8,No,c:\Charlie\charlie\stimuli\visual\scap\load5-17.BMP,c:\Charlie\charlie\stimuli\visual\scap\load5-18.BMP,No,1860
4417,scap,test,5,9,No,c:\Charlie\charlie\stimuli\visual\scap\load5-19.BMP,c:\Charlie\charlie\stimuli\visual\scap\load5-20.BMP,No,1070
4417,scap,test,5,10,No,c:\Charlie\charlie\stimuli\visual\scap\load5-21.BMP,c:\Charlie\charlie\stimuli\visual\scap\load5-22.BMP,No,2271
4417,scap,test,5,11,Yes,c:\Charlie\charlie\stimuli\visual\scap\load5-23.BMP,c:\Charlie\charlie\stimuli\visual\scap\load5-24.BMP,Yes,960
4417,scap,test,5,12,No,c:\Charlie\charlie\stimuli\visual\scap\load5-25.BMP,c:\Charlie\charlie\stimuli\visual\scap\load5-26.BMP,Yes,4171
4417,scap,test,5,13,No,c:\Charlie\charlie\stimuli\visual\scap\load5-27.BMP,c:\Charlie\charlie\stimuli\visual\scap\load5-28.BMP,Yes,3030
4420,scap,practice,3,0,Yes,c:\Charlie\charlie\stimuli\visual\scap\practice-1.BMP,c:\Charlie\charlie\stimuli\visual\scap\practice-2.BMP,Yes,2131
4420,scap,practice,4,1,No,c:\Charlie\charlie\stimuli\visual\scap\practice-3.BMP,c:\Charlie\charlie\stimuli\visual\scap\practice-4.BMP,No,1340
4420,scap,practice,5,2,Yes,c:\Charlie\charlie\stimuli\visual\scap\practice-5.BMP,c:\Charlie\charlie\stimuli\visual\scap\practice-6.BMP,Yes,1821
4420,scap,test,3,0,Yes,c:\Charlie\charlie\stimuli\visual\scap\load3-1.BMP,c:\Charlie\charlie\stimuli\visual\scap\load3-2.BMP,Yes,1241
4420,scap,test,3,1,No,c:\Charlie\charlie\stimuli\visual\scap\load3-3.BMP,c:\Charlie\charlie\stimuli\visual\scap\load3-4.BMP,No,800
4420,scap,test,3,2,Yes,c:\Charlie\charlie\stimuli\visual\scap\load3-5.BMP,c:\Charlie\charlie\stimuli\visual\scap\load3-6.BMP,Yes,1370
4420,scap,test,3,3,Yes,c:\Charlie\charlie\stimuli\visual\scap\load3-7.BMP,c:\Charlie\charlie\stimuli\visual\scap\load3-8.BMP,Yes,1770
4420,scap,test,3,4,No,c:\Charlie\charlie\stimuli\visual\scap\load3-9.BMP,c:\Charlie\charlie\stimuli\visual\scap\load3-10.BMP,No,1240
4420,scap,test,3,5,Yes,c:\Charlie\charlie\stimuli\visual\scap\load3-11.BMP,c:\Charlie\charlie\stimuli\visual\scap\load3-12.BMP,Yes,1610
4420,scap,test,3,6,No,c:\Charlie\charlie\stimuli\visual\scap\load3-13.BMP,c:\Charlie\charlie\stimuli\visual\scap\load3-14.BMP,No,1350
4420,scap,test,3,7,No,c:\Charlie\charlie\stimuli\visual\scap\load3-15.BMP,c:\Charlie\charlie\stimuli\visual\scap\load3-16.BMP,No,1781
4420,scap,test,3,8,Yes,c:\Charlie\charlie\stimuli\visual\scap\load3-17.BMP,c:\Charlie\charlie\stimuli\visual\scap\load3-18.BMP,Yes,860
4420,scap,test,3,9,No,c:\Charlie\charlie\stimuli\visual\scap\load3-19.BMP,c:\Charlie\charlie\stimuli\visual\scap\load3-20.BMP,No,1240
4420,scap,test,3,10,Yes,c:\Charlie\charlie\stimuli\visual\scap\load3-21.BMP,c:\Charlie\charlie\stimuli\visual\scap\load3-22.BMP,No,1290
4420,scap,test,3,11,Yes,c:\Charlie\charlie\stimuli\visual\scap\load3-23.BMP,c:\Charlie\charlie\stimuli\visual\scap\load3-24.BMP,No,1220
4420,scap,test,3,12,No,c:\Charlie\charlie\stimuli\visual\scap\load3-25.BMP,c:\Charlie\charlie\stimuli\visual\scap\load3-26.BMP,No,1280
4420,scap,test,3,13,No,c:\Charlie\charlie\stimuli\visual\scap\load3-27.BMP,c:\Charlie\charlie\stimuli\visual\scap\load3-28.BMP,No,1260
4420,scap,test,4,0,No,c:\Charlie\charlie\stimuli\visual\scap\load4-1.BMP,c:\Charlie\charlie\stimuli\visual\scap\load4-2.BMP,No,1121
