proband_id,test_name,phase,trialn,matches,ans,symbol1,symbol2,symbol3,rsp,rt
4460,ipcpts,test,102,0,No,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,No,0
4460,ipcpts,test,103,3,Yes,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,Yes,555
4460,ipcpts,test,104,2,No,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,No,0
4460,ipcpts,test,105,1,No,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,No,0
4460,ipcpts,test,106,0,No,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym3.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym6.bmp,No,0
4460,ipcpts,test,107,3,Yes,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym3.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym6.bmp,Yes,588
4460,ipcpts,test,108,0,No,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,No,0
4460,ipcpts,test,109,1,No,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,No,0
4460,ipcpts,test,110,0,No,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,No,0
4460,ipcpts,test,111,0,No,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,No,0
