proband_id,test_name,condition,phase,trialn,n,positions,symbols,correct,rt,responses,rt_first
4423,corsi,sequence,test,3,3,"[(296, 140), (158, 54), (178, 127), (53, 156), (-79, -19), (218, -148)]",xcx,0,1206,"[(5, 270)]",270
4423,corsi,sequence,test,4,3,"[(-247, -229), (-222, -54), (-123, -98), (58, 248), (203, -6), (60, -51)]",cxx,1,2128,"[(0, 890), (1, 570), (2, 350)]",890
4423,corsi,sequence,test,5,3,"[(250, -55), (228, -137), (-8, -166), (75, 208), (-20, 117), (-208, -43)]",cxx,1,1939,"[(0, 671), (1, 470), (2, 480)]",671
4423,corsi,sequence,test,6,4,"[(103, 51), (22, -61), (141, 170), (-69, -63), (110, -274), (87, 275), (-89, 202), (-158, 72)]",cxxc,0,806,"[(3, 700)]",700
4423,corsi,sequence,test,7,4,"[(19, -100), (78, 196), (257, -203), (-289, -160), (231, -105), (100, -75), (-160, -155), (-142, 139)]",cxcx,1,3554,"[(0, 890), (2, 830), (1, 680), (3, 730)]",890
4423,corsi,sequence,test,8,4,"[(-61, -184), (-78, 24), (286, 182), (81, -121), (-252, -11), (-293, 262), (-57, 251), (255, 262)]",cxcx,1,3555,"[(0, 860), (2, 801), (1, 710), (3, 760)]",860
4423,corsi,sequence,test,9,5,"[(62, -65), (-119, -104), (-212, 105), (-103, 123), (140, -11), (61, 208), (96, -144), (276, 185), (185, -257), (21, -160)]",cxxcc,1,3320,"[(0, 750), (3, 440), (4, 500), (1, 680), (2, 420)]",750
4423,corsi,sequence,test,10,5,"[(239, 79), (140, -16), (-254, -54), (253, -36), (-140, -83), (-113, -245), (-291, 101), (204, -290), (-206, 157), (48, 7)]",cxcxx,1,3370,"[(0, 760), (2, 610), (1, 600), (3, 330), (4, 540)]",760
4423,corsi,sequence,test,11,5,"[(34, 233), (-51, -259), (-268, 137), (-189, -237), (168, -102), (-65, 225), (-226, -94), (-158, 103), (170, 5), (296, -263)]",xxccx,0,3744,"[(2, 820), (3, 470), (0, 480), (6, 510)]",820
4423,corsi,sequence,test,12,6,"[(-214, -130), (214, 122), (110, -96), (-255, -7), (49, 99), (72, -199), (-74, 114), (200, -290), (-285, 124), (-226, 246), (102, 222), (-6, -13)]",xccxcx,0,2855,"[(1, 1180), (2, 470), (4, 350), (3, 430)]",1180
4423,corsi,sequence,test,13,6,"[(-142, -158), (249, -52), (-57, 248), (-87, 4), (37, 237), (114, 170), (115, -80), (-84, 162), (-235, 238), (216, 56), (223, 239), (13, 33)]",cxcxxc,0,1066,"[(8, 960)]",960
4423,corsi,sequence,test,14,6,"[(-6, 86), (241, -210), (57, -104), (-193, 265), (125, 47), (41, 199), (-284, 236), (175, 227), (146, 133), (216, 118), (48, 290), (-183, -208)]",ccxxxc,0,3976,"[(0, 740), (1, 530), (5, 760), (4, 710)]",740
4433,corsi,simultaneous,practice,0,2,"[(-194, -114), (255, -160), (-285, 153), (-269, -186)]",cc,1,8875,"[(0, 5100), (1, 1770)]",5100
4433,corsi,simultaneous,test,0,2,"[(153, -282), (-201, 292), (141, -30), (-130, -168)]",cc,1,3704,"[(1, 1850), (0, 1650)]",1850
4433,corsi,simultaneous,test,1,2,"[(-134, 7), (74, -23), (117, 278), (-212, -166)]",cc,1,3745,"[(0, 1621), (1, 1920)]",1621
4433,corsi,simultaneous,test,2,2,"[(212, -254), (-274, 53), (59, 269), (-167, -191)]",cc,1,3924,"[(1, 1240), (0, 2480)]",1240
4433,corsi,simultaneous,test,3,3,"[(-140, 292), (-122, -187), (17, -288), (-81, -60), (244, -219), (298, 270)]",ccc,0,3905,"[(0, 2020), (3, 1681)]",2020
4433,corsi,simultaneous,test,4,3,"[(19, 212), (48, -166), (-262, -116), (208, -16), (260, -189), (-244, 30)]",ccc,0,5386,"[(2, 1760), (0, 1190), (3, 1000)]",1760
4433,corsi,simultaneous,test,5,3,"[(-185, 20), (219, 240), (20, 215), (25, -167), (-250, 187), (190, 141)]",ccc,1,7757,"[(2, 2991), (0, 2370), (1, 2090)]",2991
4433,corsi,simultaneous,test,6,4,"[(-154, -51), (145, 144), (293, -244), (-6, 248), (-264, 153), (-255, -295), (-51, 122), (22, -77)]",cccc,0,2372,"[(6, 2270)]",2270
4433,corsi,simultaneous,test,7,4,"[(-139, -26), (63, 131), (-163, -273), (152, 165), (-278, 37), (-22, 30), (299, -15), (114, 22)]",cccc,0,5437,"[(2, 2661), (0, 910), (5, 1560)]",2661
4433,corsi,simultaneous,test,8,4,"[(-221, -190), (-228, -260), (71, -233), (-193, -95), (-60, -228), (234, -97), (287, -4), (191, 204)]",cccc,1,5308,"[(3, 2240), (0, 890), (1, 650), (2, 1120)]",2240
4433,corsi,simultaneous,test,9,5,"[(-87, -8), (137, 236), (41, 279), (177, 47), (-274, 74), (193, -221), (-165, -51), (115, 141), (-2, -104), (-274, -174)]",ccccc,0,18170,"[(1, 2631), (2, 1370), (4, 1480), (6, 12280)]",2631
4433,corsi,simultaneous,test,10,5,"[(-106, 180), (83, -239), (124, -167), (248, 97), (152, 229), (-190, -248), (2, -37), (-50, -190), (-184, 13), (216, -139)]",ccccc,0,12180,"[(1, 1920), (2, 2010), (3, 1770), (4, 1380), (9, 870)]",1920
