,overall_ntrials,overall_ncorrect,overall_rt_mean,overall_rt_mean_outrmvd,overall_rt_outrmvd,overall_dprime,overall_criterion,overall_N,overall_S,overall_H,overall_F,predictable_ntrials,predictable_ncorrect,predictable_rt_mean,predictable_rt_mean_outrmvd,predictable_rt_outrmvd,predictable_dprime,predictable_criterion,predictable_N,predictable_S,predictable_H,predictable_F,predictable_non-switch_ntrials,predictable_non-switch_ncorrect,predictable_non-switch_rt_mean,predictable_non-switch_rt_mean_outrmvd,predictable_non-switch_rt_outrmvd,predictable_non-switch_dprime,predictable_non-switch_criterion,predictable_non-switch_N,predictable_non-switch_S,predictable_non-switch_H,predictable_non-switch_F,predictable_switch_ntrials,predictable_switch_ncorrect,predictable_switch_rt_mean,predictable_switch_rt_mean_outrmvd,predictable_switch_rt_outrmvd,predictable_switch_dprime,predictable_switch_criterion,predictable_switch_N,predictable_switch_S,predictable_switch_H,predictable_switch_F,random_ntrials,random_ncorrect,random_rt_mean,random_rt_mean_outrmvd,random_rt_outrmvd,random_dprime,random_criterion,random_N,random_S,random_H,random_F,random_non-switch_ntrials,random_non-switch_ncorrect,random_non-switch_rt_mean,random_non-switch_rt_mean_outrmvd,random_non-switch_rt_outrmvd,random_non-switch_dprime,random_non-switch_criterion,random_non-switch_N,random_non-switch_S,random_non-switch_H,random_non-switch_F,random_switch_ntrials,random_switch_ncorrect,random_switch_rt_mean,random_switch_rt_mean_outrmvd,random_switch_rt_outrmvd,random_switch_dprime,random_switch_criterion,random_switch_N,random_switch_S,random_switch_H,random_switch_F,stroop_ncorrect,stroop_dprime,stroop_rt_mean_outrmvd,cost_predictable_ncorrect,cost_predictable_dprime,cost_predictable_rt_mean_outrmvd,cost_random_ncorrect,cost_random_dprime,cost_random_rt_mean_outrmvd,group
4372,202.0,196.0,874.239795918,850.886010363,3.0,3.81033553974,-0.168660764625,97.0,105.0,103.0,4.0,101.0,97.0,888.092783505,840.585106383,3.0,3.51011563854,-0.0137672192468,49.0,52.0,50.0,2.0,50.0,49.0,720.489795918,720.489795918,0.0,3.81184079935,-0.194245093167,23.0,27.0,27.0,1.0,50.0,47.0,1061.72340426,1025.67391304,1.0,3.15181916562,0.192915455709,26.0,24.0,22.0,1.0,101.0,99.0,860.666666667,852.816326531,1.0,4.08674840562,-0.311709806686,48.0,53.0,53.0,2.0,50.0,50.0,736.42,736.42,0.0,4.13699962455,-0.0316656805715,23.0,27.0,27.0,0.0,50.0,48.0,980.3125,980.3125,0.0,3.46834969313,-0.351180719466,24.0,26.0,26.0,2.0,32.0,1.74982297827,-132.118055556,-2.0,-0.660021633735,305.184117125,-2.0,-0.668649931413,243.8925,control
4373,202.0,154.0,1154.74025974,995.782894737,2.0,1.43141447013,0.0337058819224,97.0,105.0,79.0,22.0,101.0,76.0,1561.52631579,1334.46666667,1.0,1.36338760504,-0.0546221148562,49.0,52.0,40.0,13.0,50.0,36.0,1232.55555556,1119.74285714,1.0,1.15756696315,-0.0668472677023,23.0,27.0,20.0,7.0,50.0,39.0,1703.17948718,1258.76315789,1.0,1.54853371888,-0.0379509420619,26.0,24.0,19.0,6.0,101.0,78.0,758.384615385,710.447368421,2.0,1.51774688328,0.128273117378,48.0,53.0,39.0,9.0,50.0,40.0,740.0,693.076923077,1.0,1.89482019902,0.412327284426,23.0,27.0,19.0,2.0,50.0,37.0,728.756756757,728.756756757,0.0,1.28483820007,-0.093896817339,24.0,26.0,20.0,7.0,72.0,4.65620431164,-213.59527027,3.0,0.390966755729,139.020300752,-3.0,-0.609981998951,35.6798336798,control
4374,202.0,183.0,1388.19125683,1378.12637363,1.0,2.66390207658,0.127904078263,97.0,105.0,93.0,7.0,101.0,92.0,1396.18478261,1396.18478261,0.0,2.74295518787,0.173097891628,49.0,52.0,46.0,3.0,50.0,47.0,1177.34042553,1177.34042553,0.0,3.15777889943,0.132785856796,23.0,27.0,25.0,1.0,50.0,44.0,1610.77272727,1610.77272727,0.0,2.39349843837,0.229327653086,26.0,24.0,20.0,2.0,101.0,91.0,1380.10989011,1359.66666667,1.0,2.59263925348,0.0866745003591,48.0,53.0,47.0,4.0,50.0,44.0,1136.04545455,1093.86046512,1.0,2.34497858042,-0.0481510586394,23.0,27.0,24.0,3.0,50.0,46.0,1611.39130435,1611.39130435,0.0,2.93004409843,0.266642346908,24.0,26.0,23.0,1.0,37.0,1.80362091823,-278.005152696,-3.0,-0.764280461053,433.432301741,2.0,0.585065518013,517.530839232,control
4375,202.0,192.0,921.942708333,895.60106383,4.0,3.31572652453,0.0786437429818,97.0,105.0,99.0,4.0,101.0,96.0,974.760416667,934.806451613,3.0,3.47146786215,0.3096570588,49.0,52.0,48.0,1.0,50.0,48.0,856.104166667,795.717391304,2.0,3.48293772462,0.295365269392,23.0,27.0,25.0,0.0,50.0,47.0,1094.34042553,1071.39130435,1.0,3.15181916562,0.192915455709,26.0,24.0,22.0,1.0,101.0,96.0,869.125,869.125,0.0,3.31170761943,-0.12173326536,48.0,53.0,51.0,3.0,50.0,49.0,756.816326531,724.531914894,2.0,3.82298969296,0.12533928522,23.0,27.0,26.0,0.0,50.0,46.0,982.0,982.0,0.0,2.91917441889,-0.309237829071,24.0,26.0,25.0,3.0,32.0,1.51699618421,-115.848251748,-1.0,-0.331118559,275.673913043,-3.0,-0.903815274068,257.468085106,control
4376,202.0,193.0,1202.30051813,1158.64021164,4.0,3.40489819919,0.03405790565,97.0,105.0,100.0,4.0,101.0,96.0,1329.34375,1281.56382979,2.0,3.31573556524,0.0834228174041,49.0,52.0,49.0,2.0,50.0,47.0,1165.85106383,1165.85106383,0.0,3.15777889943,0.132785856796,23.0,27.0,25.0,1.0,50.0,49.0,1486.16326531,1397.27659574,2.0,3.82257394915,-0.142461936057,26.0,24.0,24.0,1.0,101.0,97.0,1076.56701031,1060.38541667,1.0,3.5092514712,-0.0229613394756,48.0,53.0,51.0,2.0,50.0,50.0,1009.06,975.979591837,1.0,4.13699962455,-0.0316656805715,23.0,27.0,27.0,0.0,50.0,46.0,1150.52173913,1150.52173913,0.0,2.80907099937,-0.0215413725861,24.0,26.0,24.0,2.0,31.0,1.37662396868,-315.681651376,2.0,0.664795049723,231.425531915,-4.0,-1.32792862517,174.542147294,control
4377,202.0,195.0,1169.09230769,1121.88082902,2.0,3.63872350103,-0.0828547452674,97.0,105.0,102.0,4.0,101.0,98.0,1377.82653061,1287.26041667,2.0,3.81119243092,-0.164305615435,49.0,52.0,51.0,2.0,50.0,48.0,1084.66666667,1034.76595745,1.0,3.45990287678,-0.370214054453,23.0,27.0,27.0,2.0,50.0,49.0,1623.32653061,1507.5625,1.0,3.81701996215,0.176845584955,26.0,24.0,23.0,0.0,101.0,97.0,958.206185567,939.75,1.0,3.5092514712,-0.0229613394756,48.0,53.0,51.0,2.0,50.0,48.0,736.104166667,736.104166667,0.0,3.48293772462,0.295365269392,23.0,27.0,25.0,0.0,50.0,48.0,1150.89583333,1117.29787234,1.0,3.46834969313,-0.351180719466,24.0,26.0,26.0,2.0,33.0,1.94736683004,-217.660227273,1.0,0.357117085371,472.796542553,0.0,-0.0145880314871,381.193705674,patient
4378,202.0,197.0,886.710659898,861.823834197,4.0,3.94115744794,-0.103249810528,97.0,105.0,103.0,3.0,101.0,101.0,900.257425743,876.323232323,2.0,4.67447807477,-0.0108911633453,49.0,52.0,52.0,0.0,50.0,50.0,832.46,806.387755102,1.0,4.13699962455,-0.0316656805715,23.0,27.0,27.0,0.0,50.0,50.0,972.04,949.836734694,1.0,4.13910447666,0.0158033277,26.0,24.0,24.0,0.0,101.0,96.0,872.458333333,846.553191489,2.0,3.31170761943,-0.12173326536,48.0,53.0,51.0,3.0,50.0,49.0,839.020408163,822.75,1.0,3.82298969296,0.12533928522,23.0,27.0,26.0,0.0,50.0,46.0,906.391304348,874.533333333,1.0,2.91917441889,-0.309237829071,24.0,26.0,25.0,3.0,31.0,1.59184307288,-164.170132743,0.0,0.00210485211779,143.448979592,-3.0,-0.903815274068,51.7833333333,control
4379,202.0,186.0,930.908602151,891.254143646,5.0,2.87702354021,-0.229879423842,97.0,105.0,100.0,11.0,101.0,96.0,887.125,849.510638298,2.0,3.46407503976,-0.337864311013,49.0,52.0,51.0,4.0,50.0,47.0,813.829787234,774.347826087,1.0,3.22450372441,-0.487913630638,23.0,27.0,27.0,3.0,50.0,48.0,949.25,912.425531915,1.0,3.50048943464,0.0185803211982,26.0,24.0,23.0,1.0,101.0,90.0,977.611111111,962.966292135,1.0,2.49067963292,-0.190867364692,48.0,53.0,49.0,7.0,50.0,43.0,862.837209302,796.829268293,2.0,2.16874702644,0.039964718348,23.0,27.0,23.0,3.0,50.0,46.0,1082.02173913,1082.02173913,0.0,3.05277713213,-0.558966999965,24.0,26.0,26.0,4.0,36.0,1.70951092216,-195.404668305,1.0,0.275985710228,138.077705828,3.0,0.884030105692,285.192470838,control
4380,202.0,192.0,1467.17708333,1384.95238095,3.0,3.2984324231,-0.0191749823964,97.0,105.0,100.0,5.0,101.0,96.0,1651.15625,1525.10638298,2.0,3.31340052408,-0.112124776478,49.0,52.0,50.0,3.0,50.0,48.0,1613.47916667,1451.40425532,1.0,3.49783086777,-0.0372401273757,23.0,27.0,26.0,1.0,50.0,47.0,1701.14893617,1609.43478261,1.0,3.1577412684,-0.152793761925,26.0,24.0,23.0,2.0,101.0,96.0,1283.19791667,1257.64210526,1.0,3.31560363367,0.0738625792856,48.0,53.0,50.0,2.0,50.0,48.0,1118.375,1043.30434783,2.0,3.49783086777,-0.0372401273757,23.0,27.0,26.0,1.0,50.0,47.0,1454.14893617,1405.08695652,1.0,3.1577412684,0.152793761925,24.0,26.0,24.0,1.0,34.0,1.94915095147,-177.780519481,-1.0,-0.340089599376,158.03052729,-1.0,-0.340089599376,361.782608696,patient
4381,202.0,198.0,815.898989899,782.321243523,5.0,4.33242119464,-0.429703592073,97.0,105.0,105.0,4.0,101.0,99.0,878.535353535,838.28125,3.0,4.08942080076,-0.303419800353,49.0,52.0,52.0,2.0,50.0,48.0,820.479166667,776.804347826,2.0,3.45990287678,-0.370214054453,23.0,27.0,27.0,2.0,50.0,50.0,925.84,869.833333333,2.0,4.13910447666,0.0158033277,26.0,24.0,24.0,0.0,101.0,99.0,753.262626263,728.587628866,2.0,4.08674840562,-0.311709806686,48.0,53.0,53.0,2.0,50.0,49.0,724.12244898,691.916666667,1.0,3.81184079935,-0.194245093167,23.0,27.0,27.0,1.0,50.0,49.0,776.346938776,758.5625,1.0,3.81701996215,-0.176845584955,24.0,26.0,26.0,1.0,30.0,1.16272940342,-122.237151568,2.0,0.679201599881,93.0289855072,0.0,0.00517916279988,66.6458333333,control
4382,202.0,165.0,2257.3030303,2196.06790123,3.0,1.82481207258,0.104331402376,97.0,105.0,83.0,15.0,101.0,81.0,2259.44444444,2193.86075949,2.0,1.74206027407,0.196540386841,49.0,52.0,39.0,7.0,50.0,41.0,2230.41463415,2169.9,1.0,2.00536813321,0.357053317331,23.0,27.0,20.0,2.0,50.0,39.0,2325.84615385,2257.57894737,1.0,1.54391352348,0.0974670115464,26.0,24.0,18.0,5.0,101.0,84.0,2255.23809524,2199.74698795,1.0,1.92233269466,0.00625521877385,48.0,53.0,44.0,8.0,50.0,43.0,2195.93023256,2131.28571429,1.0,2.16874702644,0.039964718348,23.0,27.0,23.0,3.0,50.0,40.0,2340.125,2224.20512821,1.0,1.68164157479,-0.0286029858945,24.0,26.0,21.0,5.0,63.0,4.33976612036,-407.8175,-2.0,-0.46145460973,87.6789473684,-3.0,-0.487105451652,92.9194139194,patient
4383,202.0,200.0,1984.065,1861.08163265,4.0,4.65949494293,-0.0148502360051,97.0,105.0,104.0,1.0,101.0,100.0,2104.13,1972.2755102,2.0,4.3935211906,-0.151369605429,49.0,52.0,52.0,1.0,50.0,49.0,1763.57142857,1474.14893617,2.0,3.81184079935,-0.194245093167,23.0,27.0,27.0,1.0,50.0,50.0,2364.16,2364.16,0.0,4.13910447666,0.0158033277,26.0,24.0,24.0,0.0,101.0,100.0,1864.0,1749.8877551,2.0,4.39647044922,0.120522746369,48.0,53.0,52.0,0.0,50.0,49.0,1502.12244898,1411.72916667,1.0,3.82298969296,0.12533928522,23.0,27.0,26.0,0.0,50.0,50.0,2167.52,1947.1875,2.0,4.13910447666,-0.0158033277,24.0,26.0,26.0,0.0,28.0,0.7662408237,212.379144898,1.0,0.327263677309,890.01106383,1.0,0.316114783701,535.458333333,control
4384,202.0,151.0,1585.05960265,1478.46979866,2.0,1.33854445481,0.0463465041963,97.0,105.0,77.0,23.0,101.0,76.0,1647.18421053,1607.14666667,1.0,1.36512320431,0.00807185195831,49.0,52.0,39.0,12.0,50.0,37.0,1531.18918919,1531.18918919,0.0,1.27664588766,-0.126386729958,23.0,27.0,21.0,7.0,50.0,38.0,1746.10526316,1667.62162162,1.0,1.41794605599,0.160450745295,26.0,24.0,17.0,5.0,101.0,75.0,1522.10666667,1302.82191781,2.0,1.31549070021,0.0838486937567,48.0,53.0,38.0,11.0,50.0,39.0,1507.53846154,1356.65789474,1.0,1.65942104665,0.294627708241,23.0,27.0,19.0,3.0,50.0,35.0,1535.82857143,1233.61764706,1.0,1.04586840389,-0.0922069026503,24.0,26.0,19.0,8.0,73.0,4.46543125077,-530.261261261,1.0,0.141300168329,136.432432432,-4.0,-0.613552642764,-123.040247678,patient
4385,202.0,155.0,2040.97419355,1760.11842105,3.0,1.45842811667,-0.0788605755778,97.0,105.0,83.0,25.0,101.0,77.0,2643.16883117,2090.68918919,3.0,1.44894739755,-0.217602076219,49.0,52.0,43.0,15.0,50.0,37.0,2348.27027027,2183.19444444,1.0,1.28697607707,-0.252291780347,23.0,27.0,22.0,8.0,50.0,39.0,2575.82051282,2113.84210526,1.0,1.5825626707,-0.176140230753,26.0,24.0,20.0,7.0,101.0,78.0,1446.5,1353.19480519,1.0,1.50162661648,0.0614044932607,48.0,53.0,40.0,10.0,50.0,40.0,1391.35,1348.28205128,1.0,1.76996898084,0.239353741146,23.0,27.0,20.0,3.0,50.0,37.0,1311.94594595,1239.5,1.0,1.28483820007,-0.093896817339,24.0,26.0,20.0,7.0,71.0,4.65019275743,-632.004656319,2.0,0.295586593625,-69.3523391813,-3.0,-0.48513078077,-108.782051282,patient
4386,202.0,195.0,1364.44615385,1340.0880829,2.0,3.63872350103,-0.0828547452674,97.0,105.0,102.0,4.0,101.0,98.0,1462.53061224,1415.60416667,2.0,3.81119243092,-0.164305615435,49.0,52.0,51.0,2.0,50.0,47.0,1181.95744681,1150.26086957,1.0,3.1458929452,-0.213209088661,23.0,27.0,26.0,2.0,50.0,50.0,1724.7,1677.85714286,1.0,4.13910447666,0.0158033277,26.0,24.0,24.0,0.0,101.0,97.0,1265.35051546,1251.23958333,1.0,3.5092514712,-0.0229613394756,48.0,53.0,51.0,2.0,50.0,49.0,1139.51020408,1088.63829787,2.0,3.81184079935,-0.194245093167,23.0,27.0,27.0,1.0,50.0,47.0,1389.0,1362.23913043,1.0,3.1577412684,0.152793761925,24.0,26.0,24.0,1.0,31.0,1.47564811641,-216.743902439,3.0,0.993211531464,527.596273292,-2.0,-0.654099530959,273.600832562,control
4387,202.0,103.0,743.932038835,668.727272727,4.0,0.0448797290692,-0.0612118693725,97.0,105.0,56.0,50.0,101.0,54.0,722.259259259,632.711538462,2.0,0.168447513301,-0.109804385774,49.0,52.0,30.0,25.0,50.0,28.0,720.392857143,636.296296296,1.0,0.276353656878,-0.192695743287,23.0,27.0,17.0,12.0,50.0,25.0,628.84,628.84,0.0,0.0,-0.0,26.0,24.0,12.0,13.0,101.0,49.0,767.816326531,738.604166667,1.0,-0.0758948213066,-0.0142977697227,48.0,53.0,26.0,25.0,50.0,29.0,766.620689655,716.5,1.0,0.41563136199,0.068105382113,23.0,27.0,15.0,9.0,50.0,20.0,769.55,769.55,0.0,-0.512667506388,-0.0623056107702,24.0,26.0,11.0,15.0,11.0,-0.0750285505531,-145.604040404,-3.0,-0.276353656878,-7.4562962963,-9.0,-0.928298868378,53.05,control
4388,202.0,125.0,3470.592,3168.04098361,3.0,0.60282621999,-0.0266589975365,97.0,105.0,66.0,38.0,101.0,70.0,4299.37142857,3954.61764706,2.0,1.01337805175,-0.167800724321,49.0,52.0,39.0,18.0,50.0,32.0,3098.90625,3098.90625,0.0,0.699293592166,-0.185436019003,23.0,27.0,19.0,10.0,50.0,37.0,5271.37837838,4915.55555556,1.0,1.31462002487,-0.154907789063,26.0,24.0,19.0,8.0,101.0,55.0,2415.78181818,2177.53703704,1.0,0.234078035179,0.0933893766587,48.0,53.0,27.0,20.0,50.0,29.0,2022.20689655,2022.20689655,0.0,0.465500489101,0.279185969321,23.0,27.0,13.0,7.0,50.0,25.0,2357.72,2357.72,0.0,-0.00807484032444,-0.100596035452,24.0,26.0,14.0,13.0,95.0,5.64469882662,-2080.99074074,5.0,0.615326432708,1816.64930556,-4.0,-0.473575329425,335.513103448,control
