,total_ntrials,total_ncorrect,total_rt_mean,total_rt_mean_outrmvd,total_rt_outrmvd,shape_0__ntrials,shape_0__ncorrect,shape_0_persev,shape_0_nonpersev,shape_0_lapse,shape_1__ntrials,shape_1__ncorrect,shape_1_persev,shape_1_nonpersev,shape_1_lapse,size_0__ntrials,size_0__ncorrect,size_0_persev,size_0_nonpersev,size_0_lapse,size_1__ntrials,size_1__ncorrect,size_1_persev,size_1_nonpersev,size_1_lapse,thickness_0__ntrials,thickness_0__ncorrect,thickness_0_persev,thickness_0_nonpersev,thickness_0_lapse,thickness_1__ntrials,thickness_1__ncorrect,thickness_1_persev,thickness_1_nonpersev,thickness_1_lapse,total_persev,total_nonpersev,total_lapse,nlearned,group
4372,72.0,43.0,1805.88372093,1805.88372093,0.0,12.0,10.0,2.0,0.0,0.0,12.0,10.0,2.0,0.0,0.0,12.0,0.0,6.0,6.0,0.0,12.0,2.0,5.0,5.0,0.0,12.0,11.0,0.0,0.0,0.0,12.0,10.0,2.0,0.0,0.0,17.0,11.0,0.0,4.0,0.0
4373,72.0,36.0,2941.0,2941.0,0.0,12.0,8.0,4.0,0.0,0.0,12.0,6.0,6.0,0.0,0.0,12.0,0.0,7.0,5.0,0.0,12.0,0.0,6.0,6.0,0.0,12.0,11.0,0.0,0.0,0.0,12.0,11.0,0.0,1.0,0.0,23.0,12.0,0.0,4.0,0.0
4374,72.0,24.0,2228.91666667,2228.91666667,0.0,12.0,12.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,24.0,12.0,0.0,2.0,0.0
4375,72.0,55.0,2464.34545455,2303.54716981,2.0,12.0,9.0,2.0,1.0,0.0,12.0,10.0,2.0,0.0,0.0,12.0,7.0,2.0,2.0,1.0,12.0,10.0,1.0,1.0,0.0,12.0,10.0,0.0,0.0,0.0,12.0,9.0,3.0,0.0,0.0,10.0,4.0,1.0,6.0,0.0
4376,72.0,10.0,3497.4,3497.4,0.0,12.0,2.0,10.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,4.0,0.0,22.0,28.0,0.0,1.0,0.0
4377,72.0,30.0,3442.9,3165.03448276,1.0,12.0,5.0,6.0,1.0,0.0,12.0,6.0,3.0,3.0,0.0,12.0,3.0,4.0,5.0,0.0,12.0,2.0,5.0,5.0,0.0,12.0,10.0,0.0,0.0,0.0,12.0,4.0,0.0,7.0,1.0,18.0,21.0,1.0,2.0,1.0
4378,72.0,27.0,4296.11111111,3685.15384615,1.0,12.0,12.0,0.0,0.0,0.0,12.0,3.0,9.0,0.0,0.0,12.0,0.0,6.0,6.0,0.0,12.0,0.0,6.0,6.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,21.0,12.0,0.0,2.0,0.0
4379,72.0,32.0,2833.34375,2833.34375,0.0,12.0,9.0,3.0,0.0,0.0,12.0,6.0,6.0,0.0,0.0,12.0,0.0,6.0,5.0,1.0,12.0,0.0,3.0,9.0,0.0,12.0,6.0,0.0,0.0,1.0,12.0,11.0,0.0,1.0,0.0,18.0,15.0,2.0,4.0,0.0
4380,72.0,47.0,2595.06382979,2508.84782609,1.0,12.0,8.0,4.0,0.0,0.0,12.0,8.0,4.0,0.0,0.0,12.0,3.0,6.0,3.0,0.0,12.0,7.0,4.0,1.0,0.0,12.0,11.0,0.0,0.0,0.0,12.0,10.0,0.0,2.0,0.0,18.0,6.0,0.0,5.0,1.0
4381,72.0,43.0,7783.46511628,5875.80952381,1.0,12.0,2.0,7.0,3.0,0.0,12.0,12.0,0.0,0.0,0.0,12.0,9.0,2.0,1.0,0.0,12.0,3.0,8.0,1.0,0.0,12.0,12.0,0.0,0.0,0.0,12.0,5.0,4.0,3.0,0.0,21.0,8.0,0.0,3.0,0.0
4382,72.0,25.0,2389.96,2389.96,0.0,12.0,12.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,12.0,0.0,11.0,1.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,23.0,13.0,0.0,2.0,1.0
4383,72.0,24.0,1852.54166667,1852.54166667,0.0,12.0,12.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,24.0,12.0,0.0,2.0,0.0
4384,72.0,22.0,2706.90909091,2706.90909091,0.0,12.0,5.0,5.0,1.0,1.0,12.0,5.0,3.0,2.0,2.0,12.0,0.0,10.0,2.0,0.0,12.0,5.0,1.0,3.0,3.0,12.0,4.0,0.0,0.0,0.0,12.0,3.0,0.0,6.0,3.0,19.0,14.0,9.0,0.0,1.0
4385,72.0,30.0,4996.26666667,4996.26666667,0.0,12.0,3.0,8.0,0.0,1.0,12.0,6.0,5.0,0.0,1.0,12.0,2.0,7.0,3.0,0.0,12.0,0.0,6.0,6.0,0.0,12.0,10.0,0.0,0.0,1.0,12.0,9.0,0.0,3.0,0.0,26.0,12.0,3.0,3.0,1.0
4386,72.0,33.0,2179.21212121,2179.21212121,0.0,12.0,10.0,2.0,0.0,0.0,12.0,6.0,6.0,0.0,0.0,12.0,0.0,4.0,8.0,0.0,12.0,0.0,6.0,6.0,0.0,12.0,8.0,0.0,0.0,1.0,12.0,9.0,0.0,3.0,0.0,18.0,17.0,1.0,4.0,0.0
4388,72.0,33.0,2922.09090909,2690.875,1.0,12.0,6.0,6.0,0.0,0.0,12.0,7.0,5.0,0.0,0.0,12.0,0.0,3.0,9.0,0.0,12.0,0.0,5.0,6.0,1.0,12.0,9.0,0.0,0.0,0.0,12.0,11.0,1.0,0.0,0.0,20.0,15.0,1.0,4.0,0.0
4389,72.0,42.0,2163.57142857,2047.7804878,1.0,12.0,11.0,1.0,0.0,0.0,12.0,10.0,1.0,1.0,0.0,12.0,5.0,4.0,3.0,0.0,12.0,9.0,1.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,7.0,4.0,1.0,0.0,11.0,7.0,0.0,4.0,0.0
4390,72.0,28.0,3760.89285714,3509.40740741,1.0,12.0,3.0,9.0,0.0,0.0,12.0,4.0,8.0,0.0,0.0,12.0,0.0,3.0,9.0,0.0,12.0,0.0,6.0,6.0,0.0,12.0,10.0,0.0,0.0,0.0,12.0,11.0,1.0,0.0,0.0,27.0,15.0,0.0,2.0,0.0
4391,72.0,55.0,1657.32727273,1588.94444444,1.0,12.0,10.0,2.0,0.0,0.0,12.0,11.0,0.0,1.0,0.0,12.0,8.0,2.0,2.0,0.0,12.0,7.0,2.0,3.0,0.0,12.0,9.0,0.0,0.0,0.0,12.0,10.0,1.0,1.0,0.0,7.0,7.0,0.0,6.0,0.0
4392,72.0,33.0,5398.48484848,5398.48484848,0.0,12.0,3.0,8.0,1.0,0.0,12.0,6.0,2.0,4.0,0.0,12.0,8.0,0.0,4.0,0.0,12.0,1.0,7.0,4.0,0.0,12.0,11.0,0.0,0.0,0.0,12.0,4.0,6.0,2.0,0.0,23.0,15.0,0.0,3.0,0.0
4393,72.0,31.0,1292.29032258,1200.03333333,1.0,12.0,4.0,5.0,2.0,1.0,12.0,11.0,0.0,1.0,0.0,12.0,5.0,2.0,5.0,0.0,12.0,1.0,6.0,4.0,1.0,12.0,3.0,0.0,0.0,0.0,12.0,7.0,1.0,3.0,1.0,14.0,15.0,3.0,2.0,0.0
4394,72.0,35.0,2771.54285714,2608.35294118,1.0,12.0,9.0,3.0,0.0,0.0,12.0,5.0,7.0,0.0,0.0,12.0,0.0,8.0,4.0,0.0,12.0,0.0,6.0,6.0,0.0,12.0,12.0,0.0,0.0,0.0,12.0,9.0,0.0,3.0,0.0,24.0,13.0,0.0,3.0,0.0
4395,72.0,25.0,2443.32,2018.83333333,1.0,12.0,3.0,9.0,0.0,0.0,12.0,8.0,3.0,1.0,0.0,12.0,1.0,4.0,7.0,0.0,12.0,0.0,6.0,6.0,0.0,12.0,11.0,0.0,0.0,0.0,12.0,2.0,2.0,8.0,0.0,24.0,22.0,0.0,2.0,0.0
4396,72.0,29.0,3363.0,3109.14285714,1.0,12.0,9.0,3.0,0.0,0.0,12.0,0.0,6.0,4.0,2.0,12.0,2.0,4.0,3.0,3.0,12.0,4.0,3.0,4.0,1.0,12.0,11.0,0.0,0.0,0.0,12.0,3.0,1.0,7.0,1.0,17.0,18.0,7.0,2.0,0.0
4397,72.0,45.0,1743.22222222,1678.95454545,1.0,12.0,10.0,2.0,0.0,0.0,12.0,10.0,2.0,0.0,0.0,12.0,2.0,5.0,4.0,1.0,12.0,2.0,4.0,4.0,2.0,12.0,10.0,0.0,0.0,0.0,12.0,11.0,0.0,1.0,0.0,13.0,9.0,3.0,4.0,0.0
4398,72.0,45.0,1743.22222222,1678.95454545,1.0,12.0,10.0,2.0,0.0,0.0,12.0,10.0,2.0,0.0,0.0,12.0,2.0,5.0,4.0,1.0,12.0,2.0,4.0,4.0,2.0,12.0,10.0,0.0,0.0,0.0,12.0,11.0,0.0,1.0,0.0,13.0,9.0,3.0,4.0,0.0
4399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
4401,72.0,22.0,2240.63636364,2240.63636364,0.0,12.0,10.0,2.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,12.0,0.0,8.0,4.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,22.0,16.0,0.0,2.0,0.0
4402,72.0,32.0,2192.90625,2040.09677419,1.0,12.0,9.0,3.0,0.0,0.0,12.0,4.0,6.0,1.0,1.0,12.0,2.0,5.0,5.0,0.0,12.0,0.0,6.0,3.0,3.0,12.0,11.0,0.0,0.0,0.0,12.0,6.0,2.0,2.0,2.0,22.0,11.0,6.0,3.0,1.0
4403,72.0,24.0,2472.95833333,2343.95652174,1.0,12.0,12.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,24.0,12.0,0.0,2.0,0.0
4404,72.0,44.0,2141.20454545,1905.52380952,2.0,12.0,8.0,4.0,0.0,0.0,12.0,10.0,2.0,0.0,0.0,12.0,0.0,5.0,7.0,0.0,12.0,4.0,4.0,3.0,1.0,12.0,11.0,0.0,0.0,0.0,12.0,11.0,1.0,0.0,0.0,16.0,10.0,1.0,4.0,0.0
4406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
4407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
4409,72.0,25.0,3400.6,3400.6,0.0,12.0,11.0,1.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,11.0,0.0,25.0,11.0,0.0,2.0,0.0
4410,72.0,23.0,1961.43478261,1805.13636364,1.0,12.0,1.0,11.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,0.0,12.0,10.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,23.0,24.0,0.0,2.0,1.0
4411,72.0,33.0,3469.96969697,3155.5625,1.0,12.0,5.0,7.0,0.0,0.0,12.0,6.0,5.0,1.0,0.0,12.0,0.0,5.0,7.0,0.0,12.0,0.0,8.0,4.0,0.0,12.0,12.0,0.0,0.0,0.0,12.0,10.0,0.0,2.0,0.0,25.0,14.0,0.0,3.0,0.0
4412,72.0,33.0,2532.84848485,2532.84848485,0.0,12.0,5.0,7.0,0.0,0.0,12.0,7.0,3.0,2.0,0.0,12.0,1.0,2.0,8.0,1.0,12.0,2.0,3.0,6.0,1.0,12.0,10.0,0.0,0.0,0.0,12.0,8.0,1.0,3.0,0.0,16.0,19.0,2.0,3.0,0.0
4413,72.0,31.0,6227.38709677,6227.38709677,0.0,12.0,9.0,3.0,0.0,0.0,12.0,7.0,5.0,0.0,0.0,12.0,0.0,4.0,8.0,0.0,12.0,0.0,6.0,6.0,0.0,12.0,9.0,0.0,0.0,0.0,12.0,6.0,0.0,4.0,2.0,18.0,18.0,2.0,4.0,1.0
4414,72.0,39.0,2074.82051282,2074.82051282,0.0,12.0,7.0,5.0,0.0,0.0,12.0,10.0,2.0,0.0,0.0,12.0,0.0,6.0,6.0,0.0,12.0,2.0,3.0,6.0,1.0,12.0,9.0,0.0,0.0,1.0,12.0,11.0,1.0,0.0,0.0,17.0,12.0,2.0,4.0,0.0
4415,72.0,44.0,2496.77272727,2378.3255814,1.0,12.0,9.0,3.0,0.0,0.0,12.0,10.0,1.0,1.0,0.0,12.0,0.0,4.0,8.0,0.0,12.0,7.0,3.0,2.0,0.0,12.0,10.0,0.0,0.0,0.0,12.0,8.0,1.0,3.0,0.0,12.0,14.0,0.0,5.0,0.0
4416,72.0,23.0,1985.73913043,1985.73913043,0.0,12.0,3.0,8.0,1.0,0.0,12.0,1.0,8.0,3.0,0.0,12.0,4.0,2.0,6.0,0.0,12.0,2.0,3.0,5.0,2.0,12.0,6.0,0.0,0.0,1.0,12.0,7.0,5.0,0.0,0.0,26.0,15.0,3.0,2.0,0.0
4417,72.0,24.0,3096.75,3096.75,0.0,12.0,3.0,8.0,0.0,1.0,12.0,3.0,9.0,0.0,0.0,12.0,2.0,1.0,7.0,2.0,12.0,0.0,5.0,7.0,0.0,12.0,6.0,0.0,0.0,0.0,12.0,10.0,0.0,1.0,1.0,23.0,15.0,4.0,2.0,0.0
4418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
4420,72.0,44.0,2183.54545455,2017.55813953,1.0,12.0,8.0,4.0,0.0,0.0,12.0,10.0,2.0,0.0,0.0,12.0,3.0,4.0,4.0,1.0,12.0,0.0,7.0,5.0,0.0,12.0,11.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,17.0,9.0,1.0,4.0,0.0
4421,72.0,49.0,2238.12244898,2082.4375,1.0,12.0,5.0,5.0,2.0,0.0,12.0,10.0,2.0,0.0,0.0,12.0,3.0,2.0,4.0,3.0,12.0,10.0,2.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,12.0,11.0,0.0,0.0,1.0,11.0,6.0,4.0,4.0,0.0
4422,72.0,30.0,2048.53333333,2048.53333333,0.0,12.0,9.0,3.0,0.0,0.0,12.0,4.0,8.0,0.0,0.0,12.0,0.0,6.0,6.0,0.0,12.0,0.0,3.0,9.0,0.0,12.0,11.0,0.0,0.0,0.0,12.0,6.0,0.0,6.0,0.0,20.0,21.0,0.0,3.0,0.0
4423,72.0,26.0,2528.65384615,2141.36,1.0,12.0,0.0,7.0,4.0,1.0,12.0,1.0,1.0,9.0,1.0,12.0,6.0,1.0,3.0,2.0,12.0,6.0,2.0,4.0,0.0,12.0,10.0,0.0,0.0,0.0,12.0,3.0,4.0,2.0,3.0,15.0,22.0,7.0,3.0,1.0
4424,72.0,33.0,2624.15151515,2624.15151515,0.0,12.0,7.0,5.0,0.0,0.0,12.0,8.0,4.0,0.0,0.0,12.0,3.0,5.0,4.0,0.0,12.0,0.0,8.0,4.0,0.0,12.0,6.0,0.0,0.0,0.0,12.0,9.0,1.0,2.0,0.0,23.0,10.0,0.0,4.0,1.0
4425,72.0,17.0,3137.88235294,3137.88235294,0.0,12.0,4.0,8.0,0.0,0.0,12.0,1.0,11.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,12.0,0.0,1.0,11.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,20.0,23.0,0.0,1.0,0.0
4426,72.0,22.0,3798.86363636,3798.86363636,0.0,12.0,1.0,11.0,0.0,0.0,12.0,2.0,10.0,0.0,0.0,12.0,1.0,4.0,7.0,0.0,12.0,0.0,3.0,8.0,1.0,12.0,7.0,0.0,0.0,0.0,12.0,11.0,0.0,1.0,0.0,28.0,16.0,1.0,2.0,0.0
4427,72.0,17.0,4984.94117647,4984.94117647,0.0,12.0,10.0,2.0,0.0,0.0,12.0,1.0,6.0,4.0,1.0,12.0,1.0,11.0,0.0,0.0,12.0,0.0,5.0,6.0,1.0,12.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,7.0,0.0,24.0,17.0,2.0,1.0,1.0
4428,72.0,23.0,1754.0,1754.0,0.0,12.0,11.0,0.0,1.0,0.0,12.0,12.0,0.0,0.0,0.0,12.0,0.0,11.0,1.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,23.0,14.0,0.0,2.0,0.0
4429,72.0,32.0,1562.34375,1562.34375,0.0,12.0,10.0,1.0,1.0,0.0,12.0,9.0,1.0,2.0,0.0,12.0,2.0,5.0,2.0,3.0,12.0,5.0,3.0,2.0,2.0,12.0,2.0,0.0,0.0,2.0,12.0,4.0,1.0,7.0,0.0,11.0,14.0,7.0,2.0,1.0
4430,72.0,38.0,2103.78947368,1935.24324324,1.0,12.0,10.0,2.0,0.0,0.0,12.0,7.0,2.0,1.0,2.0,12.0,4.0,4.0,3.0,1.0,12.0,2.0,4.0,6.0,0.0,12.0,11.0,0.0,0.0,0.0,12.0,4.0,2.0,4.0,2.0,14.0,14.0,5.0,3.0,0.0
4432,72.0,27.0,2610.22222222,2610.22222222,0.0,12.0,3.0,8.0,1.0,0.0,12.0,5.0,7.0,0.0,0.0,12.0,1.0,4.0,7.0,0.0,12.0,0.0,7.0,5.0,0.0,12.0,9.0,0.0,0.0,0.0,12.0,9.0,0.0,3.0,0.0,26.0,16.0,0.0,2.0,0.0
4433,72.0,31.0,4027.61290323,3837.16666667,1.0,12.0,4.0,7.0,1.0,0.0,12.0,3.0,5.0,4.0,0.0,12.0,3.0,6.0,3.0,0.0,12.0,5.0,6.0,1.0,0.0,12.0,8.0,0.0,0.0,0.0,12.0,8.0,0.0,4.0,0.0,24.0,13.0,0.0,2.0,1.0
4434,72.0,44.0,1381.88636364,1241.73809524,2.0,12.0,10.0,2.0,0.0,0.0,12.0,7.0,5.0,0.0,0.0,12.0,2.0,5.0,4.0,1.0,12.0,3.0,3.0,4.0,2.0,12.0,11.0,0.0,0.0,0.0,12.0,11.0,0.0,1.0,0.0,15.0,9.0,3.0,4.0,0.0
4435,72.0,35.0,2141.85714286,2141.85714286,0.0,12.0,3.0,8.0,1.0,0.0,12.0,7.0,5.0,0.0,0.0,12.0,5.0,4.0,3.0,0.0,12.0,1.0,4.0,7.0,0.0,12.0,11.0,0.0,0.0,0.0,12.0,8.0,0.0,4.0,0.0,21.0,15.0,0.0,3.0,1.0
4436,72.0,21.0,2061.57142857,2061.57142857,0.0,12.0,12.0,0.0,0.0,0.0,12.0,7.0,4.0,1.0,0.0,12.0,0.0,9.0,3.0,0.0,12.0,0.0,5.0,7.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,8.0,1.0,19.0,19.0,1.0,2.0,0.0
4439,72.0,43.0,2861.11627907,2861.11627907,0.0,12.0,12.0,0.0,0.0,0.0,12.0,10.0,2.0,0.0,0.0,12.0,0.0,7.0,5.0,0.0,12.0,9.0,1.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,10.0,7.0,0.0,4.0,0.0
4440,72.0,30.0,2419.9,2229.55172414,1.0,12.0,2.0,5.0,5.0,0.0,12.0,9.0,2.0,1.0,0.0,12.0,10.0,1.0,1.0,0.0,12.0,2.0,6.0,4.0,0.0,12.0,3.0,0.0,0.0,0.0,12.0,4.0,6.0,2.0,0.0,20.0,13.0,0.0,2.0,0.0
4441,72.0,18.0,1681.83333333,1681.83333333,0.0,12.0,11.0,1.0,0.0,0.0,12.0,0.0,7.0,4.0,1.0,12.0,1.0,8.0,2.0,1.0,12.0,0.0,2.0,9.0,1.0,12.0,0.0,0.0,0.0,0.0,12.0,6.0,1.0,3.0,2.0,19.0,18.0,5.0,2.0,1.0
4443,72.0,33.0,2263.48484848,2134.8125,1.0,12.0,4.0,7.0,0.0,1.0,12.0,11.0,1.0,0.0,0.0,12.0,1.0,7.0,4.0,0.0,12.0,4.0,4.0,3.0,1.0,12.0,7.0,0.0,0.0,0.0,12.0,6.0,0.0,5.0,1.0,19.0,12.0,3.0,3.0,0.0
4444,72.0,24.0,1514.625,1514.625,0.0,12.0,12.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,24.0,12.0,0.0,2.0,1.0
4445,72.0,24.0,1197.16666667,1154.43478261,1.0,12.0,12.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,24.0,12.0,0.0,2.0,1.0
4446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
4447,72.0,20.0,1808.15,1668.52631579,1.0,12.0,4.0,7.0,0.0,1.0,12.0,4.0,5.0,2.0,1.0,12.0,1.0,6.0,5.0,0.0,12.0,2.0,5.0,5.0,0.0,12.0,8.0,0.0,0.0,0.0,12.0,1.0,3.0,8.0,0.0,26.0,20.0,2.0,1.0,0.0
4448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
4449,72.0,33.0,2222.48484848,2222.48484848,0.0,12.0,8.0,4.0,0.0,0.0,12.0,6.0,6.0,0.0,0.0,12.0,0.0,8.0,4.0,0.0,12.0,0.0,8.0,4.0,0.0,12.0,10.0,0.0,0.0,0.0,12.0,9.0,0.0,3.0,0.0,26.0,11.0,0.0,4.0,0.0
4450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
4451,72.0,23.0,2304.13043478,2304.13043478,0.0,12.0,4.0,8.0,0.0,0.0,12.0,0.0,10.0,2.0,0.0,12.0,0.0,4.0,8.0,0.0,12.0,0.0,1.0,11.0,0.0,12.0,10.0,0.0,0.0,0.0,12.0,9.0,0.0,3.0,0.0,23.0,24.0,0.0,2.0,0.0
4452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
4453,72.0,23.0,1092.26086957,1092.26086957,0.0,12.0,11.0,1.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,12.0,0.0,9.0,3.0,0.0,12.0,0.0,11.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,21.0,16.0,0.0,2.0,1.0
4454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
4455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
4456,72.0,39.0,1991.97435897,1842.02631579,1.0,12.0,7.0,5.0,0.0,0.0,12.0,4.0,7.0,1.0,0.0,12.0,4.0,2.0,5.0,1.0,12.0,6.0,2.0,3.0,1.0,12.0,9.0,0.0,0.0,0.0,12.0,9.0,1.0,1.0,1.0,17.0,10.0,3.0,4.0,0.0
4457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
4458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
4459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
